"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YHR065C",21,21,458,1161,960,1105,1159,740
"YHR066W",5,11,440,741,781,1114,1103,535
"YHR067W",203,225,220,335,385,314,369,324
"YHR068W",122,115,360,783,931,1219,1900,1900
"YHR069C",94,123,282,407,421,482,490,330
"YHR069C-A",13,6,6,12,16,10,16,9
"YHR070W",31,31,170,270,240,369,341,182
"YHR071W",1094,1361,2052,1425,1062,1091,2051,1803
"YHR071C-A",3,4,9,11,12,5,7,6
"YHR072W",379,330,428,773,795,1043,1380,914
"YHR072W-A",101,130,329,628,730,861,1231,968
"YHR073W",1552,1442,1312,1022,756,832,910,926
"YHR074W",1653,1597,1584,1361,942,1051,1074,1035
"YHR075C",327,342,258,179,117,110,137,140
"YHR076W",382,410,469,433,386,438,540,412
"YHR077C",760,662,1113,1694,1305,1325,1446,1184
"YHR078W",493,515,545,421,358,373,466,457
"YHR079C",519,421,492,471,413,421,505,424
"YHR080C",1985,1779,1289,928,608,444,440,645
"YHR081W",123,131,194,332,370,474,578,341
"YHR082C",3056,2664,1948,1826,1398,1235,1280,1383
"YHR083W",311,335,286,291,260,312,332,345
"YHR084W",130,113,277,554,641,714,767,687
"YHR085W",5,13,162,216,218,287,326,160
"YHR086W",424,289,294,266,218,274,248,288
"YHR087W",4048,3321,1124,208,68,23,15,48
"YHR088W",24,35,333,678,739,919,905,401
"YHR089C",15,21,313,696,826,1131,1814,1318
"YHR090C",545,508,360,272,231,206,207,196
"YHR091C",305,269,352,235,177,176,154,233
"YHR092C",177,133,67,34,23,34,91,341
"YHR094C",201,138,100,44,54,49,43,44
"YHR096C",10612,9467,6047,1105,148,44,16,12
"YHR097C",2913,2875,1569,395,166,105,119,190
"YHR098C",789,728,719,900,914,1143,1585,1482
"YHR099W",1117,1141,789,883,776,915,1241,1248
"YHR100C",63,52,112,142,161,181,213,163
"YHR101C",201,180,190,134,107,105,102,119
"YHR102W",700,630,658,624,504,478,527,492
"YHR103W",1001,796,645,591,525,707,1020,939
"YHR104W",2185,1928,1568,947,648,502,455,488
"YHR105W",257,233,163,78,44,42,40,42
"YHR106W",657,543,494,252,208,146,178,177
"YHR107C",283,255,469,514,515,620,784,657
"YHR108W",598,484,706,833,883,1134,1556,1397
"YHR109W",218,145,152,127,112,108,128,115
"YHR110W",968,896,732,529,482,432,522,491
"YHR111W",494,433,502,522,387,370,365,309
"YHR112C",552,489,576,944,1005,818,470,260
"YHR113W",1909,1852,1636,1032,657,496,400,388
"YHR114W",882,904,859,627,506,515,640,529
"YHR115C",468,441,432,448,310,320,449,402
"YHR116W",274,230,87,54,54,50,39,58
"YHR117W",713,658,694,688,664,683,899,712
"YHR118C",223,200,355,436,248,252,271,186
"YHR119W",502,475,596,859,720,686,781,717
"YHR120W",171,174,273,307,300,292,450,277
"YHR121W",424,427,424,509,423,459,688,627
"YHR122W",152,146,201,383,322,352,429,201
"YHR123W",86,87,172,552,603,617,701,600
"YHR124W",64,60,70,65,60,37,33,24
"YHR127W",98,70,110,206,214,218,255,204
"YHR128W",94,141,417,619,515,686,878,591
"YHR129C",68,57,127,186,175,171,225,198
"YHR130C",58,34,33,48,26,28,43,46
"YHR131C",614,437,418,312,240,259,290,329
"YHR132C",1342,1355,1295,999,735,751,853,739
"YHR132W-A",995,867,323,217,246,186,175,217
"YHR133C",116,132,231,283,305,343,551,608
"YHR134W",135,141,217,226,161,125,135,107
"YHR135C",1260,1252,1119,977,962,1090,1170,1178
"YHR136C",1641,1473,561,997,989,1105,1151,567
"YHR137W",3127,2977,2324,1017,527,395,564,556
"YHR138C",964,1001,864,403,169,100,57,48
"YHR139C",53,39,51,24,14,4,2,5
"YHR140W",144,127,104,66,43,19,22,32
"snR32",2,1,7,2,1,0,2,1
"YHR141C",241,244,505,1267,1746,2437,4591,5657
"YHR142W",160,172,235,584,489,423,542,413
"YHR143W",2169,1892,1462,2227,2047,1630,1767,2141
"YHR143W-A",41,52,147,382,402,355,403,287
"YHR144C",11,19,53,171,153,220,248,181
"YHR145C",2,4,0,0,0,1,3,4
"YHR146W",2007,1944,2083,1574,1351,1630,1954,1563
"YHR147C",924,805,445,333,236,211,192,190
"YHR148W",6,11,120,235,195,265,266,158
"YHR149C",42,53,205,693,773,779,820,507
"YHR150W",419,369,399,246,204,205,196,162
"YHR151C",163,126,248,217,177,190,188,174
"YHR152W",558,514,383,459,518,448,417,395
"YHR153C",2,2,1,11,31,21,55,52
"YHR154W",70,83,111,466,906,1213,1731,1307
"YHR155W",714,579,575,692,528,475,638,558
"YHR156C",187,225,213,182,147,119,113,71
"YHR157W",35,31,18,20,12,23,19,29
"YHR158C",1031,900,766,694,681,727,823,816
"YHR159W",446,395,307,177,141,117,120,139
"YHR160C",312,312,132,51,16,12,10,9
"YHR161C",3389,3106,2294,960,497,443,461,600
"YHR162W",3389,3602,3395,2222,1233,1216,1483,1126
"YHR163W",245,207,337,421,422,475,597,591
"YHR164C",517,481,497,581,413,384,447,413
"YHR165C",1554,1457,1023,1078,919,1085,1336,1145
"YHR166C",206,190,193,199,205,214,219,188
"YHR167W",41,52,98,148,130,117,111,103
"YHR168W",248,193,176,155,134,147,167,140
"YHR169W",8,12,149,273,300,449,438,197
"YHR170W",27,38,492,1111,1201,1716,2167,1153
"YHR171W",506,439,306,187,118,91,69,143
"YHR172W",69,70,55,171,264,306,417,392
"YHR173C",4,3,2,2,4,0,1,0
"YHR174W",4298,4267,4970,10304,17665,25763,41228,51853
"YHR175W",292,247,323,297,196,172,215,271
"YHR175W-A",64,73,93,93,52,59,69,73
"YHR176W",144,123,147,170,174,60,45,68
